código;produto;preço;estoque
0001;FeijãoTipoB;12.25;1233
0002;FeijãoTipoC;9.57;120
0003;MilhoParaPipoca;1.22;346
0004;Amido;4.55;12
0005;FarinhaDeTrigo;2.00;124
0006;CarneDeBoi;44.40;1000
0007;Frango;20.00;1234
0008;Porco;34.98;123
0009;Macarrão;2.22;3456
0010;Hambuguer;12.34;129
0011;Peixe;11.99;1234
0012;Refrigerante;6.00;1456
0013;Vodka;40.00;1230
0014;Cerveja;10.00;1293
0015;ÁguaMineral;2.00;1002
0016;ÁguaQuaseMineral;0.56;1237
0017;Pão;12.00;10
0018;PapelHigienico;15.76;120
0019;Papel;10.34;192
0020;FarinhaDeMilho;0.99;456
0021;FarinhaDeTapioca;2.35;1374
0022;Banana;12.99;19
0023;Tomate;5.00;12
0024;Cebola;2.00;61
0025;Alho;34.76;1987
0026;Abacaxi;8.63;19
0027;Melancia;5.34;748
0028;Melão;3.67;19
0029;Cenoura;4.00;56
0030;Achocalatado;7.00;3456
0031;Açucar;32.44;90
0032;Adoçante;1.22;7869
0033;Atum;6.78;90
0034;Azeite;22.78;786
0035;BatataPalha;5.44;900
0036;Azeitona;3.44;345
0037;Baunilha;5.00;6777
0038;Biscoito;3.44;907
0039;Bombom;1.00;345
0040;Caldo;2.34;908
0041;Café;4.56;867
0042;Catchup;2.34;566
0043;Ceral;12.35;8932
0044;Champignon;12.56;8764
0045;Chocolate;5.72;896
0046;ChocolateBranco;4.34;90
0047;ChocolateGranulado;2.45;87
0048;CocoRalado;3.00;5432
0049;CremeDeLeite;4.67;89
0050;LeiteCondensado;7.00;654
0051;Fermento;0.34;876
0052;Gelatina;1.00;5576
0053;Leite;4.56;9092
0054;LeiteDeCoco;3.56;987
0055;Maioense;6.00;7484
0056;Molho;3.45;564
0057;Mostarda;2.45;8746
0058;Palmito;5.43;8
0059;Polvilho;3.21;90
0060;Sal;1.00;345
0061;Sardinha;4.56;76
0062;Tempero;1.00;8
0063;Vinagre;1.11;134
0064;Café;5.43;90
0065;Acabacate;2.00;0
0066;Agrião;2.34;4
0067;Chuchu;4.55;13
0068;Espinafre;5.66;98
0069;Goiaba;3.44;4
0070;Laranja;6.97;123
0071;Maçã;6.00;122
0072;Ovos;0.34;78
0073;Pimentão;1.23;4
0074;Repolho;2.00;45
0075;Uva;11.82;6
0076;Licor;21.45;10
0077;Bacon;13.40;100
0078;Chester;32.34;10
0079;FrutasSecas;13.45;12
0080;Iorgute;21.56;1034
0081;Linguiça;21.56;1
0082;Manteiga;10.00;102
0083;Margarina;3.22;12
0084;Queijo;34.00;12
0085;Presunto;21.34;0
0086;QuejoRalado;1.34;123
0087;Salame;21.00;13
0088;Ricota;4.23;134
0089;Bolo;25.32;0
0090;Bolacha;5.00;0
0091;Torta;60.00;2
0092;Salgados;50.00;8949
0093;Fósforo;0.56;234
0094;Velas;1.00;12
0095;PilhasAA;4.00;1256
0096;PilhasAAA;3.00;234
0097;Alcool70;5.43;0
0098;Alcool96;3.56;11736
0099;Alcool80;5.34;89
0100;Alvejante;2.35;984
0101;Amaciante;8.45;898
0102;Vassoura;10.00;623
0103;Inseticida;4.23;1869
0104;Acetona;2.00;1221
0105;Talco;3.57;9499
0106;Pano;4.56;834
0107;Toalha;34.5;756
0108;FoneDeOuvido;43.5;1230
0109;Travesseiro;34.5;754
